"","desc","Concept","Domain","Gini_Types"
"112","PCT Agriculture Forestry Fishing And Hunting And Mining","Economy","Industry",0.516066581842204
"129","PCT Production Transportation And Material Moving Occupations","Economy","Industry",0.229921220546197
"128","PCT Natural Resources Construction And Maintenance Occupations","Economy","Industry",0.225620597809669
"118","PCT Information","Economy","Industry",0.189423412567486
"125","PCT Management Business Science And Arts Occupations","Economy","Industry",0.18146513592669
"119","PCT Finance And Insurance And Real Estate And Rental And Leasing","Economy","Industry",0.179436825121533
"120","PCT Professional Scientific And Management And Administrative And Waste Management Services","Economy","Industry",0.177395493883028
"113","PCT Construction","Economy","Industry",0.17183360592227
"114","PCT Manufacturing","Economy","Industry",0.158952527714944
"126","PCT Service Occupations","Economy","Industry",0.151324003097432
"122","PCT Arts Entertainment And Recreation And Accommodation And Food Services","Economy","Industry",0.143173677519297
"117","PCT Transportation And Warehousing And Utilities","Economy","Industry",0.128742776904638
"124","PCT Public Administration","Economy","Industry",0.122287309242353
"115","PCT Wholesale Trade","Economy","Industry",0.101366036359096
"121","PCT Educational Services And Health Care And Social Assistance","Economy","Industry",0.0767294342761076
"123","PCT Other Services Except Public Administration","Economy","Industry",0.0655064719115377
"116","PCT Retail Trade","Economy","Industry",0.0621861735166533
"127","PCT Sales And Office Occupations","Economy","Industry",0.0476446249768683
