"","desc","Concept","Domain","Gini_Types"
"61","PCT Workers 16 Years And Over Public Transportation (Excluding Taxicab)","Economy","Mobility",0.628379277380406
"71","PCT Commute 60 89","Economy","Mobility",0.24310718817198
"62","PCT Commute 5 9","Economy","Mobility",0.21703893096815
"70","PCT Commute 45 59","Economy","Mobility",0.188891323958778
"69","PCT Commute 40 44","Economy","Mobility",0.18627260772695
"72","PCT Commute 90 More","Economy","Mobility",0.1854943801479
"68","PCT Commute 35 39","Economy","Mobility",0.157334232390178
"63","PCT Commute 10 14","Economy","Mobility",0.137984515743203
"67","PCT Commute 30 34","Economy","Mobility",0.118128638083478
"66","PCT Commute 25 29","Economy","Mobility",0.10927604928716
"64","PCT Commute 15 19","Economy","Mobility",0.0880557325232505
"65","PCT Commute 20 24","Economy","Mobility",0.0810827080793337
