"","desc","Concept","Domain","Gini_Types"
"60","PCT No Car","Economy","Wealth",0.562899311060462
"95","PCT $200 000 Or More","Economy","Wealth",0.515392954809296
"94","PCT $150 000 To $199 999","Economy","Wealth",0.391184252069525
"96","PCT With Cash Public Assistance Or Food Stamps Snap","Economy","Wealth",0.335227631600366
"93","PCT $125 000 To $149 999","Economy","Wealth",0.304619772301592
"80","PCT Less Than $10 000","Economy","Wealth",0.297835408493368
"81","PCT $10 000 To $14 999","Economy","Wealth",0.251628281059593
"92","PCT $100 000 To $124 999","Economy","Wealth",0.224953944768816
"82","PCT $15 000 To $19 999","Economy","Wealth",0.217738204103401
"83","PCT $20 000 To $24 999","Economy","Wealth",0.191058917673686
"84","PCT $25 000 To $29 999","Economy","Wealth",0.172860726231921
"97","PCT With Retirement Income","Economy","Wealth",0.159153943262105
"85","PCT $30 000 To $34 999","Economy","Wealth",0.149939453771145
"91","PCT $75 000 To $99 999","Economy","Wealth",0.139802819499886
"86","PCT $35 000 To $39 999","Economy","Wealth",0.132497520406103
"87","PCT $40 000 To $44 999","Economy","Wealth",0.10860426779733
"88","PCT $45 000 To $49 999","Economy","Wealth",0.100906136861248
"90","PCT $60 000 To $74 999","Economy","Wealth",0.0931053141471931
"89","PCT $50 000 To $59 999","Economy","Wealth",0.0873026800292851
